Taxi ID		Trip Type	Number of Trips		Maximum Fare	Minimum Fare	Average Fare
0		long		1			372.21		372.21		372.21
0		medium		18			333.90		160.64		223.84
0		short		35			177.40		10.17		96.28
1		long		3			418.34		363.40		384.63
1		medium		24			345.28		167.28		221.31
1		short		36			197.47		25.45		96.45
10		long		2			406.00		333.87		369.94
10		medium		24			328.50		170.57		238.23
10		short		38			193.41		54.65		114.89
100		long		5			525.95		362.02		423.23
100		medium		20			301.68		174.03		243.75
100		short		36			173.23		7.77		105.64
101		long		2			477.36		377.80		427.58
101		medium		24			374.70		182.43		262.90
101		short		31			191.61		15.71		101.33
102		long		1			382.13		382.13		382.13
102		medium		19			358.71		168.70		258.16
102		short		30			181.60		16.50		110.44
103		long		1			368.11		368.11		368.11
103		medium		35			360.40		175.29		241.31
103		short		36			180.93		6.93		106.36
104		long		1			406.26		406.26		406.26
104		medium		25			322.09		188.15		264.00
104		short		42			189.57		24.16		99.67
105		long		1			432.97		432.97		432.97
105		medium		27			347.48		164.87		247.33
105		short		38			183.74		19.47		111.39
106		long		3			366.59		335.33		347.77
106		medium		14			373.63		168.24		222.59
106		short		42			181.89		23.99		99.39
107		medium		22			364.01		172.39		249.69
107		short		39			175.71		12.03		102.93
108		long		3			409.97		339.35		379.12
108		medium		21			338.75		174.76		233.84
108		short		41			196.44		19.66		99.84
109		long		3			456.32		354.70		406.92
109		medium		22			353.19		179.69		260.32
109		short		36			183.63		37.84		108.32
11		medium		21			325.38		173.65		251.89
11		short		24			189.15		15.09		106.61
110		long		2			449.69		363.59		406.64
110		medium		32			320.75		166.21		228.08
110		short		33			183.86		16.09		103.70
111		long		2			396.70		364.64		380.67
111		medium		26			358.15		175.96		247.13
111		short		38			177.50		4.61		102.77
112		long		1			429.31		429.31		429.31
112		medium		16			336.10		172.94		255.56
112		short		42			184.15		1.31		119.22
113		long		2			414.57		395.31		404.94
113		medium		21			328.78		179.29		246.88
113		short		22			195.27		41.26		120.62
114		long		1			417.96		417.96		417.96
114		medium		24			311.55		168.23		210.92
114		short		41			182.79		13.46		109.46
115		long		4			457.42		372.96		414.29
115		medium		23			329.19		187.24		239.47
115		short		40			182.78		26.45		100.14
116		long		2			436.45		370.46		403.45
116		medium		29			360.00		166.17		254.10
116		short		36			180.71		10.43		87.68
117		long		1			429.35		429.35		429.35
117		medium		16			340.96		182.85		238.96
117		short		37			178.63		4.00		92.50
118		long		2			417.14		395.64		406.39
118		medium		26			374.50		168.38		254.10
118		short		39			195.95		32.87		111.62
119		long		2			412.25		394.99		403.62
119		medium		26			345.48		185.84		240.19
